channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
-326056,-4297009,-3279504,-3308705,-2615283,-3113864,-2946402,-8388608,1404688521.31,0
-325700,-4295171,-3278857,-3308647,-2615231,-3113016,-2946252,-8388608,1404688521.31,0
-326128,-4296586,-3279817,-3307938,-2614935,-3114520,-2946651,-8388608,1404688521.326,0
-326071,-4295520,-3278814,-3308210,-2615624,-3113329,-2946137,-8388608,1404688521.326,0
-326197,-4297087,-3280174,-3307709,-2615159,-3115422,-2946902,-8388608,1404688521.341,0
-325911,-4295060,-3278333,-3307393,-2615294,-3113462,-2945717,-8388608,1404688521.341,0
-326002,-4296599,-3280284,-3308724,-2615688,-3115588,-2947370,-8388608,1404688521.357,0
-325948,-4295247,-3278214,-3306378,-2614410,-3114099,-2945279,-8388608,1404688521.357,0
-325902,-4296337,-3280049,-3308350,-2615549,-3115769,-2947081,-8388608,1404688521.373,0
-325916,-4295763,-3278171,-3306329,-2614462,-3115004,-2945505,-8388608,1404688521.373,0
-326140,-4295997,-3278789,-3308529,-2615960,-3115883,-2946914,-8388608,1404688521.388,0
-325978,-4295981,-3278172,-3307139,-2615021,-3115674,-2945961,-8388608,1404688521.388,0
-325964,-4295048,-3277482,-3307469,-2615533,-3114572,-2945466,-8388608,1404688521.388,0
-326184,-4296812,-3280108,-3309009,-2615787,-3117106,-2947397,-8388608,1404688521.404,0
-325964,-4294821,-3277493,-3307087,-2615118,-3114465,-2945261,-8388608,1404688521.419,0
-326087,-4296679,-3280334,-3308767,-2615709,-3117025,-2947674,-8388608,1404688521.419,0
-326572,-4295507,-3277956,-3306539,-2615387,-3114692,-2945521,-8388608,1404688521.419,0
-326176,125,-8211617,3643238,-479386,-4098580,671848,3671017,1404688521.435,0
-326400,-4296840,-3280051,-3307678,-2615457,-3116774,-2947136,-8388608,1404688521.435,0
-326439,-4295091,-3278434,-3307376,-2615776,-3114832,-2945982,-8388608,1404688521.451,0
-326366,-4296795,-3280112,-3307907,-2615327,-3116814,-2947226,-8388608,1404688521.451,0
-326094,-4295139,-3278127,-3307452,-2615642,-3114365,-2945878,-8388608,1404688521.466,0
-326103,-4295925,-3279848,-3308683,-2615919,-3115966,-2947325,-8388608,1404688521.466,0
-326220,-4295242,-3278526,-3306804,-2614962,-3114822,-2945794,-8388608,1404688521.482,0
-325911,-4295435,-3279704,-3308860,-2616019,-3115411,-2947228,-8388608,1404688521.482,0
-326097,-4296149,-3279667,-3307756,-2615092,-3115742,-2946852,-8388608,1404688521.497,0
-326328,-4295450,-3279798,-3308867,-2616017,-3115385,-2947247,-8388608,1404688521.497,0
-325974,-4296093,-3279948,-3307724,-2615005,-3115906,-2946771,-8388608,1404688521.513,0
-325884,-4294456,-3278222,-3307083,-2615097,-3113978,-2945363,-8388608,1404688521.513,0
-326181,-4296272,-3280884,-3309044,-2615856,-3116296,-2947446,-8388608,1404688521.513,0
-325991,-4294573,-3278122,-3306869,-2615105,-3113503,-2944729,-8388608,1404688521.529,0
-325823,-4295843,-3280285,-3308913,-2615784,-3115152,-2946551,-8388608,1404688521.529,0
-325794,-4294544,-3278092,-3306597,-2614916,-3113197,-2944416,-8388608,1404688521.544,0
-325773,-4295922,-3280067,-3308733,-2615999,-3114940,-2946365,-8388608,1404688521.544,0
-325877,-4296431,-3279937,-3307902,-2615471,-3115214,-2946042,-8388608,1404688521.56,0
-325608,-4294401,-3277727,-3307377,-2615406,-3112595,-2944572,-8388608,1404688521.56,0
-325771,-4296311,-3280202,-3308552,-2615527,-3115095,-2946464,-8388608,1404688521.575,0
-325487,-4293694,-3277441,-3307110,-2614961,-3111881,-2944176,-8388608,1404688521.575,0
-325483,-4296064,-3280484,-3309187,-2615436,-3114919,-2946708,-8388608,1404688521.591,0
-325239,-4293857,-3277761,-3307706,-2614864,-3112245,-2944582,-8388608,1404688521.591,0
-325327,-4294459,-3279022,-3309247,-2615640,-3113192,-2945777,-8388608,1404688521.607,0
-325424,-4295479,-3279404,-3308474,-2615056,-3113875,-2945627,-8388608,1404688521.607,0
-325315,-4294447,-3278778,-3309204,-2615804,-3112578,-2945431,-8388608,1404688521.622,0
-325421,-4295807,-3279901,-3308564,-2615111,-3114078,-2946049,-8388608,1404688521.622,0
-325371,-4294231,-3278536,-3308465,-2615494,-3112300,-2945118,-8388608,1404688521.622,0
-325555,-4295769,-3280059,-3308175,-2614840,-3114227,-2946012,-8388608,1404688521.638,0
-325416,-4294037,-3277909,-3306598,-2614329,-3112112,-2944196,-8388608,1404688521.638,0
