@relation jim-filtered-data-weka.filters.unsupervised.attribute.Remove-R9

@attribute channel_0 numeric
@attribute channel_1 numeric
@attribute channel_2 numeric
@attribute channel_3 numeric
@attribute channel_4 numeric
@attribute channel_5 numeric
@attribute channel_6 numeric
@attribute channel_7 numeric
@attribute class {0,70}

@data
0.061101,0.234859,0.169696,0.049438,0.062468,0.094462,0.025107,0.163144,70
0.060738,0.234609,0.169251,0.04914,0.061991,0.094107,0.024755,0.163246,70
0.06055,0.234428,0.169023,0.048898,0.061761,0.09386,0.02468,0.16333,70
0.061021,0.234694,0.169571,0.049292,0.062543,0.094314,0.025033,0.162972,70
0.060971,0.234709,0.16964,0.049357,0.062508,0.094408,0.024951,0.162942,70
0.060767,0.234633,0.169347,0.04918,0.062121,0.094146,0.024755,0.163175,70
0.060501,0.234422,0.169156,0.048891,0.061714,0.093828,0.024629,0.163373,70
0.060943,0.234602,0.169571,0.049196,0.062427,0.094216,0.024987,0.163005,70
0.061091,0.234762,0.169714,0.049403,0.062562,0.09445,0.025114,0.163007,70
0.060867,0.234681,0.169418,0.049232,0.06221,0.094212,0.024873,0.163144,70
0.060505,0.234464,0.169034,0.048884,0.061651,0.093833,0.024625,0.163388,70
0.061014,0.234714,0.169512,0.049185,0.062304,0.094183,0.025009,0.163276,70
0.061207,0.234875,0.169763,0.049457,0.062623,0.094461,0.02521,0.163116,70
0.060969,0.234735,0.169526,0.049313,0.062309,0.094263,0.024948,0.163157,70
0.060558,0.234427,0.169091,0.048923,0.061712,0.093867,0.024661,0.16332,70
0.060844,0.234567,0.169461,0.049052,0.062155,0.094051,0.024883,0.163243,70
0.061172,0.234861,0.16988,0.049419,0.06266,0.094436,0.025191,0.163038,70
0.061014,0.23477,0.169549,0.049341,0.062412,0.094312,0.025009,0.163136,70
0.060602,0.234554,0.169095,0.049019,0.061826,0.093926,0.02466,0.163356,70
0.060681,0.234508,0.169223,0.048991,0.062013,0.093946,0.024732,0.163249,70
0.061185,0.234803,0.169768,0.049414,0.062632,0.094432,0.025152,0.163062,70
0.061072,0.234756,0.169649,0.049378,0.062435,0.094371,0.025072,0.16311,70
0.060693,0.234521,0.169196,0.049058,0.061916,0.094002,0.024709,0.163288,70
0.06072,0.234558,0.169196,0.048959,0.06184,0.093917,0.02477,0.163482,70
0.061193,0.234848,0.169728,0.049365,0.062593,0.094381,0.025169,0.163152,70
0.061095,0.234841,0.169738,0.049398,0.062496,0.094381,0.025097,0.163144,70
0.060777,0.234683,0.169353,0.049138,0.06201,0.094061,0.02477,0.163317,70
0.060587,0.234491,0.169042,0.04889,0.061745,0.093827,0.024721,0.163431,70
0.061061,0.234749,0.169663,0.049276,0.062528,0.094305,0.025039,0.163088,70
0.061058,0.234828,0.16972,0.049397,0.062572,0.094419,0.025061,0.163048,70
0.060758,0.234665,0.169339,0.049157,0.062159,0.094132,0.024739,0.163157,70
0.06058,0.234529,0.169078,0.048891,0.061737,0.093841,0.024648,0.163502,70
0.061109,0.234805,0.169622,0.049241,0.062438,0.094251,0.025078,0.163283,70
0.061164,0.234884,0.169766,0.049418,0.0626,0.094453,0.025174,0.16313,70
0.060923,0.234759,0.169563,0.049238,0.062283,0.094221,0.024896,0.163226,70
0.060599,0.234529,0.169152,0.048897,0.06172,0.093848,0.024699,0.163496,70
0.060966,0.234669,0.169479,0.049101,0.062296,0.09415,0.024982,0.163256,70
0.06115,0.234855,0.169723,0.049364,0.062628,0.094426,0.025163,0.163081,70
0.060914,0.234739,0.169474,0.049244,0.06232,0.094239,0.024872,0.163154,70
0.060504,0.234457,0.169044,0.048882,0.06174,0.093849,0.024568,0.163346,70
0.060761,0.234466,0.169329,0.048967,0.062115,0.094004,0.02481,0.163174,70
0.061153,0.234848,0.169764,0.049379,0.062619,0.094432,0.025126,0.163059,70
0.060991,0.234836,0.169589,0.049323,0.062398,0.094324,0.024971,0.163173,70
0.060588,0.234532,0.169145,0.048959,0.061816,0.093948,0.024646,0.163316,70
0.060657,0.234511,0.169255,0.048903,0.061961,0.093938,0.024719,0.163276,70
0.061151,0.234857,0.169886,0.04934,0.062628,0.094421,0.025146,0.163077,70
0.061078,0.234879,0.16965,0.049338,0.062461,0.09437,0.025074,0.163198,70
0.060655,0.234578,0.169174,0.048996,0.061934,0.093994,0.024682,0.163272,70
0.060569,0.234415,0.169128,0.048822,0.06185,0.093858,0.024665,0.163287,70
0.061095,0.234782,0.169679,0.049263,0.062607,0.094342,0.025058,0.163052,70
0.061029,0.234798,0.169606,0.049316,0.062521,0.094361,0.025023,0.163089,70
0.060727,0.234612,0.169246,0.049053,0.062044,0.094049,0.024714,0.163224,70
0.060537,0.234393,0.169131,0.048766,0.061737,0.093798,0.02466,0.163324,70
0.061036,0.234665,0.169716,0.049142,0.062504,0.094247,0.025039,0.163027,70
0.061034,0.234773,0.16966,0.049283,0.062552,0.094382,0.025034,0.163024,70
0.060811,0.234699,0.169319,0.049107,0.062169,0.094118,0.024749,0.16323,70
0.060501,0.234428,0.169002,0.048757,0.061676,0.093755,0.024603,0.163384,70
0.06091,0.234634,0.16948,0.04906,0.062379,0.094127,0.024905,0.163074,70
0.061059,0.234815,0.169682,0.049305,0.062593,0.094372,0.025017,0.16306,70
0.060863,0.234701,0.169403,0.049151,0.062269,0.094155,0.024819,0.163158,70
0.060476,0.234459,0.169012,0.048804,0.061687,0.093778,0.024591,0.163363,70
0.060864,0.234622,0.169376,0.049028,0.062258,0.094041,0.02489,0.163206,70
0.061121,0.234823,0.169714,0.049341,0.062617,0.094389,0.025143,0.163022,70
0.06092,0.234695,0.169518,0.049206,0.062342,0.094236,0.02491,0.163091,70
0.060536,0.234455,0.169074,0.048845,0.061764,0.093841,0.024638,0.163323,70
0.060787,0.234585,0.169336,0.048955,0.062114,0.093969,0.024832,0.163278,70
0.061187,0.234959,0.169854,0.049391,0.062673,0.094387,0.025139,0.16314,70
0.061029,0.234866,0.169633,0.049312,0.062439,0.094297,0.025011,0.163177,70
0.060633,0.234604,0.169138,0.048945,0.061867,0.093908,0.024691,0.163345,70
0.060659,0.234509,0.169195,0.048858,0.061991,0.093873,0.024706,0.163328,70
0.061153,0.234865,0.16975,0.049307,0.062682,0.094378,0.025095,0.163066,70
0.061084,0.234881,0.169665,0.04932,0.062496,0.094354,0.02507,0.163149,70
0.060717,0.234654,0.169236,0.049024,0.061963,0.093996,0.024758,0.163281,70
0.060636,0.234486,0.169167,0.048848,0.061834,0.09384,0.02472,0.163362,70
0.061128,0.23481,0.16984,0.049277,0.062615,0.094329,0.025103,0.163069,70
0.061093,0.234901,0.169736,0.049346,0.062534,0.094374,0.025089,0.16314,70
0.060739,0.234661,0.169301,0.049057,0.062094,0.094061,0.024776,0.163168,70
0.060554,0.234477,0.169073,0.048807,0.061776,0.093799,0.024671,0.163368,70
0.061127,0.234805,0.169638,0.049234,0.062541,0.094262,0.02505,0.163186,70
0.06115,0.234916,0.169733,0.049373,0.062595,0.094412,0.025145,0.163118,70
0.060879,0.234763,0.169331,0.049144,0.0622,0.09411,0.024888,0.163213,70
0.060515,0.234491,0.169013,0.048784,0.061705,0.093742,0.024589,0.163408,70
0.060956,0.234721,0.169512,0.049091,0.062416,0.094114,0.024902,0.163172,70
0.061116,0.234882,0.169771,0.049341,0.06266,0.094394,0.025099,0.163045,70
0.060935,0.234793,0.169522,0.049184,0.062303,0.094141,0.024917,0.163165,70
0.060544,0.2346,0.169025,0.048828,0.06169,0.093734,0.024629,0.163431,70
0.060887,0.234728,0.169392,0.049034,0.062246,0.094027,0.02486,0.163263,70
0.061219,0.234981,0.169804,0.049385,0.062675,0.094425,0.025192,0.163125,70
0.061026,0.234887,0.169593,0.049277,0.062359,0.094277,0.024996,0.16319,70
0.060516,0.234509,0.169061,0.04886,0.061719,0.093805,0.02457,0.163266,70
0.060774,0.234562,0.169283,0.04895,0.062067,0.093914,0.024753,0.163283,70
0.061289,0.235002,0.169837,0.049436,0.062707,0.094451,0.025217,0.163209,70
0.061121,0.234969,0.169627,0.049362,0.062443,0.094322,0.02514,0.163228,70
0.060613,0.234579,0.169119,0.048926,0.061821,0.093848,0.024661,0.163254,70
0.060634,0.234564,0.169143,0.048863,0.061908,0.093788,0.024647,0.163322,70
0.061123,0.234916,0.169746,0.049319,0.062672,0.094336,0.02508,0.163061,70
0.061118,0.234938,0.169722,0.049339,0.062487,0.094331,0.025088,0.163188,70
